Locustag	begin	end	length	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0270	293212	293841	630	-	293212	293841	630	ORF	lmo0270	hypothetical protein - RAST_Product: FIG00774432: hypothetical protein	FIG00774432: hypothetical protein	Operon_047	Carbohydrate transport and metabolism	ATG	 
lmo0271	293845	295281	1437	-	293845	295281	1437	ORF	highly similar to phospho-beta-glucosidase	"hypothetical protein - RAST_Product: Beta-glucosidase (EC 3.2.1.21); 6-phospho-beta-glucosidase (EC 3.2.1.86)"	"Beta-glucosidase (EC 3.2.1.21); 6-phospho-beta-glucosidase (EC 3.2.1.86)"	Operon_047	Carbohydrate transport and metabolism	ATG	 
lmo0272	295401	296213	813	-	295401	296213	813	ORF	conserved hypothetical protein similar to B. subtilis YxeH protein	hypothetical protein - RAST_Product: Phosphatase YidA	Phosphatase YidA		General function prediction only	TTG	 
lmo0273	296349	296852	504	+	296349	296852	504	ORF	lmo0273	hypothetical protein - RAST_Product: acetyltransferase, GNAT family	acetyltransferase, GNAT family		"Transcription; General function prediction only;"	ATG	 
lmo0274	296889	297551	663	-	296889	297551	663	ORF	lmo0274	hypothetical protein - RAST_Product: FIG00774862: hypothetical protein	FIG00774862: hypothetical protein		Signal transduction mechanisms	ATG	 
lmo0275	297810	298652	843	-	297810	298652	843	ORF		hypothetical protein - RAST_Product: Late competence protein ComEC, DNA transport	Late competence protein ComEC, DNA transport	Operon_048	General function prediction only	ATG	 
lmo0276	298669	299490	822	-	298669	299490	822	ORF		hypothetical protein - RAST_Product: FIG002540: Haloacid dehalogenase-like hydrolase	FIG002540: Haloacid dehalogenase-like hydrolase	Operon_048	General function prediction only	TTG	 
lmo0277	299607	300578	972	+	299607	300578	972	ORF	similar to oxidoreductase	hypothetical protein	oxidoreductase, Gfo/Idh/MocA family		General function prediction only	ATG	 
lmo0278	300617	301717	1101	-	300617	301717	1101	ORF	similar to sugar ABC transporter, ATP-binding protein	hypothetical protein - RAST_Product: Multiple sugar ABC transporter, ATP-binding protein	Multiple sugar ABC transporter, ATP-binding protein		Carbohydrate transport and metabolism	TTG	 
lmo0279	302008	304140	2133	+	302008	304140	2133	ORF	"highly similar to anaerobic ribonucleoside-triphosphate reductase; Catalyzes the reduction of nucleoside 5'-triphosphates to 2'-deoxynucleoside 5'-triphosphates"	anaerobic ribonucleoside triphosphate reductase	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	Operon_049	Nucleotide transport and metabolism	ATG	 
lmo0280	304133	304684	552	+	304133	304684	552	ORF	highly similar to anaerobic ribonucleotide reductase activator protein	hypothetical protein - RAST_Product: Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	Operon_049	Posttranslational modification, protein turnover, chaperones	GTG	 
lmo0281	304942	305613	672	-	304942	305613	672	ORF	lmo0281	hypothetical protein - RAST_Product: cyclic nucleotide-binding protein	cyclic nucleotide-binding protein		Signal transduction mechanisms	ATG	 
lmo0282	305775	306554	780	-	305775	306554	780	ORF		hypothetical protein - RAST_Product: Aliphatic amidase amiE (EC 3.5.1.4)	Aliphatic amidase amiE (EC 3.5.1.4)	Operon_050	General function prediction only	ATG	 
lmo0283	306644	307306	663	-	306644	307306	663	ORF	similar to ABC transporter permease protein	hypothetical protein - RAST_Product: Methionine ABC transporter permease protein	Methionine ABC transporter permease protein	Operon_050	Inorganic ion transport and metabolism	ATG	 
lmo0284	307303	308319	1017	-	307303	308319	1017	ORF	similar to ABC transporter (ATP-binding protein)	hypothetical protein - RAST_Product: Methionine ABC transporter ATP-binding protein	Methionine ABC transporter ATP-binding protein	Operon_050	Inorganic ion transport and metabolism	TTG	 
lmo0285	308334	309155	822	-	308334	309155	822	ORF		putative lipoprotein	Methionine ABC transporter substrate-binding protein	Operon_050	Inorganic ion transport and metabolism	ATG	 
lmo0286	309538	310719	1182	+	309538	310719	1182	ORF	"similar to aminotransferase; produces methionine from 2-keto-4-methylthiobutyrate and glutamine in vitro; mutations do not affect methionine salvage in vivo however"	transaminase	Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase		Amino acid transport and metabolism	ATG	 
lmo0287	310932	311645	714	+	310932	311645	714	ORF	similar to two-component response regulator	hypothetical protein - RAST_Product: Two-component response regulator SA14-24	Two-component response regulator SA14-24		"Transcription; Signal transduction mechanisms;"	ATG	 
lmo0288	311830	313662	1833	+	311830	313662	1833	ORF	similar to two-component sensor histidine kinase	hypothetical protein - RAST_Product: Two-component sensor kinase SA14-24	Two-component sensor kinase SA14-24	Operon_051	Signal transduction mechanisms	ATG	 
lmo0289	313659	314981	1323	+	313659	314981	1323	ORF	similar to B. subtilis YycH protein	hypothetical protein - RAST_Product: FIG011501: YycH protein	FIG011501: YycH protein	Operon_051	Function unknown	ATG	 
lmo0290	314984	315823	840	+	314984	315823	840	ORF	similar to B. subtilis YycI protein	hypothetical protein - RAST_Product: hypothetical protein SA_21	hypothetical protein SA_21	Operon_051	Function unknown	ATG	 
lmo0291	315945	316775	831	+	315945	316775	831	ORF	conserved hypothetical protein similar to B. subtilis YycJ protein	hypothetical protein - RAST_Product: Zn-dependent hydrolase YycJ/WalJ, required for cell wall metabolism and coordination of cell division with DNA replication	Zn-dependent hydrolase YycJ/WalJ, required for cell wall metabolism and coordination of cell division with DNA replication	Operon_052	General function prediction only	ATG	 
lmo0292	316873	318375	1503	+	316873	318375	1503	ORF	similar to heat-shock protein htrA serine protease	hypothetical protein - RAST_Product: Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)	Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)	Operon_052	Posttranslational modification, protein turnover, chaperones	ATG	 
lmo0293	319049	319528	480	+	319049	319528	480	ORF	"conserved hypothetical protein, highly similar to B. subtilis YydA proteinYyd; SPOUT methyltransferase family protein; crystal structure shows homodimer; in Escherichia coli this protein methylates pseudouridine at position 1915 of the 23S ribosomal RNA"	rRNA large subunit methyltransferase	LSU m3Psi1915 methyltransferase RlmH ## ybeA		Function unknown	ATG	 
lmo0294	319560	320423	864	-	319560	320423	864	ORF	similar to transcription regulator LysR-gltR family	hypothetical protein - RAST_Product: transcriptional regulator, LysR family	transcriptional regulator, LysR family		Transcription	ATG	 
lmo0295	320542	321279	738	+	320542	321279	738	ORF	similar to FMN-containing NADPH-linked nitro/flavin reductase	hypothetical protein - RAST_Product: nitroreductase family protein	nitroreductase family protein		Energy production and conversion	ATG	 
lmo0296	321490	322128	639	+	321490	322128	639	ORF	lmo0296	hypothetical protein - RAST_Product: membrane protein	membrane protein		Not in COGs	ATG	 
lmo0297	322134	324005	1872	-	322134	324005	1872	ORF	similar to transcriptional antiterminator (BglG family)	hypothetical protein - RAST_Product: Transcriptional antiterminator of lichenan operon, BglG family / PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	Transcriptional antiterminator of lichenan operon, BglG family / PTS system, cellobiose-specific IIA component (EC 2.7.1.69)		"Transcription; Carbohydrate transport and metabolism; Signal transduction mechanisms;"	ATG	 
lmo0298	324104	325417	1314	-	324104	325417	1314	ORF	similar to PTS beta-glucoside-specific enzyme IIC component	hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)		Carbohydrate transport and metabolism	ATG	 
lmo0299	325422	325712	291	-	325422	325712	291	ORF	similar to PTS beta-glucoside-specific enzyme IIB component	hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	PTS system, cellobiose-specific IIB component (EC 2.7.1.69)		Carbohydrate transport and metabolism	ATG	 
lmo0300	325729	327120	1392	-	325729	327120	1392	ORF	similar to phospho-beta-glucosidase and phospho-beta-galactosidase	hypothetical protein - RAST_Product: Beta-glucosidase (EC 3.2.1.21)	Beta-glucosidase (EC 3.2.1.21)		Carbohydrate transport and metabolism	ATG	 
lmo0301	327113	327454	342	-	327113	327454	342	ORF	similar to PTS beta-glucoside-specific enzyme IIA component	hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIA component (EC 2.7.1.69)	PTS system, cellobiose-specific IIA component (EC 2.7.1.69)		Carbohydrate transport and metabolism	GTG	 
lmo0302	327621	327905	285	+	327621	327905	285	ORF	lmo0302	hypothetical protein	FIG00774746: hypothetical protein	Operon_053	Not in COGs	ATG	 
lmo0303	327941	328495	555	+	327941	328495	555	ORF		putaive secreted, lysin rich protein	lipoprotein	Operon_053	Not in COGs	ATG	 
lmo0304	328701	329966	1266	+	328701	329966	1266	ORF	lmo0304	hypothetical protein - RAST_Product: FIG00774034: hypothetical protein	FIG00774034: hypothetical protein	Operon_054	Not in COGs	ATG	 
lmo0305	329923	330999	1077	+	329923	330999	1077	ORF	similar to low specificity L-allo-threonine aldolase	hypothetical protein - RAST_Product: Low-specificity L-threonine aldolase (EC 4.1.2.5)	Low-specificity L-threonine aldolase (EC 4.1.2.5)	Operon_054	Amino acid transport and metabolism	ATG	 
lmo0306	331063	331446	384	-	331063	331446	384	ORF	lmo0306	hypothetical protein - RAST_Product: FIG00774255: hypothetical protein	FIG00774255: hypothetical protein		Not in COGs	ATG	 
lmo0307	331543	332688	1146	+	331543	332688	1146	ORF	lmo0307	hypothetical protein - RAST_Product: FIG00774072: hypothetical protein	FIG00774072: hypothetical protein		Not in COGs	TTG	 
lmo0308	332776	333132	357	+	332776	333132	357	ORF		Pseudo-gene or RefSeq provisional	FIG00775209: hypothetical protein		Not in COGs	CTT	 
lmo0309	333534	335195	1662	+	333534	335195	1662	ORF		hypothetical protein - RAST_Product: conserved hypothetical protein	conserved hypothetical protein		Function unknown	ATG	 
lmo0310	335350	336426	1077	+	335350	336426	1077	ORF	lmo0310	hypothetical protein - RAST_Product: FIG00775546: hypothetical protein	FIG00775546: hypothetical protein		Not in COGs	ATG	 
lmo0311	336541	337161	621	+	336541	337161	621	ORF	lmo0311	hypothetical protein - RAST_Product: hypothetical protein	hypothetical protein		Not in COGs	ATG	 
lmo0312	337161	338363	1203	+	337161	338363	1203	ORF		hypothetical protein - RAST_Product: FIG014574: hypothetical protein	FIG014574: hypothetical protein		Not in COGs	ATG	 
lmo0313	338341	339087	747	+	338341	339087	747	ORF		hypothetical protein	Putative deoxyribonuclease similar to YcfH, type 4		Replication, recombination and repair	TTG	 
lmo0314	339270	340055	786	+	339270	340055	786	ORF		hypothetical protein - RAST_Product: Cellobiose phosphotransferase system YdjC-like protein	Cellobiose phosphotransferase system YdjC-like protein		Function unknown	ATG	 
lmo0315	340278	340952	675	+	340278	340952	675	ORF	similar to thiamin biosynthesis protein	hypothetical protein - RAST_Product: Thiaminase II (EC 3.5.99.2)	Thiaminase II (EC 3.5.99.2)	Operon_055	Transcription	GTG	 
lmo0316	340945	341754	810	+	340945	341754	810	ORF	"similar to hydroxyethylthiazole kinase (ThiM); catalyzes the formation of 4-methyl-5-(2-phosphoethyl)-thiazole and ADP from 4-methyl-5-(2-hydroxyethyl)-thiazole and ATP"	hydroxyethylthiazole kinase	Hydroxyethylthiazole kinase (EC 2.7.1.50)	Operon_055	Coenzyme transport and metabolism	ATG	 
lmo0317	341751	342554	804	+	341751	342554	804	ORF	similar to phosphomethylpyrimidine kinase (ThiD)	hypothetical protein - RAST_Product: Phosphomethylpyrimidine kinase (EC 2.7.4.7)	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	Operon_055	Coenzyme transport and metabolism	ATG	 
lmo0318	342551	343195	645	+	342551	343195	645	ORF	"similar to thiamin-phosphate pyrophosphorylase (ThiE); Condenses 4-methyl-5-(beta-hydroxyethyl)-thiazole monophosphate and 4-amino-5-hydroxymethyl pyrimidine pyrophosphate to form thiamine monophosphate"	thiamine-phosphate pyrophosphorylase	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	Operon_055	Coenzyme transport and metabolism	ATG	 
lmo0319	343221	344636	1416	-	343221	344636	1416	ORF	similar to phospho-beta-glucosidase	hypothetical protein - RAST_Product: 6-phospho-beta-glucosidase (EC 3.2.1.86)	6-phospho-beta-glucosidase (EC 3.2.1.86)		Carbohydrate transport and metabolism	ATG	 
lmo0320	344850	346049	1200	-	344850	346049	1200	ORF	similar to surface protein (peptidoglycan bound, LPXTG motif)	hypothetical protein - RAST_Product: Putative peptidoglycan bound protein (LPXTG motif) Lmo0320 homolog	Putative peptidoglycan bound protein (LPXTG motif) Lmo0320 homolog		Cell wall/membrane biogenesis	ATG	 
lmo0321	346377	347036	660	+	346377	347036	660	ORF		hypothetical protein - RAST_Product: membrane protein	membrane protein		Not in COGs	GTG	 
lmo0322	347219	347611	393	+	347219	347611	393	ORF		hypothetical protein - RAST_Product: FIG00774312: hypothetical protein	FIG00774312: hypothetical protein		Not in COGs	ATG	 
lmo0323	347658	348428	771	-	347658	348428	771	ORF		hypothetical protein - RAST_Product: endonuclease/exonuclease/phosphatase family protein	endonuclease/exonuclease/phosphatase family protein		General function prediction only	ATG	 
lmo0324	348586	349065	480	+	348586	349065	480	ORF	lmo0324	hypothetical protein	FIG00774236: hypothetical protein		Not in COGs	TTG	 
lmo0325	349326	350228	903	+	349326	350228	903	ORF	similar to transcriptional regulators	hypothetical protein - RAST_Product: Transcriptional regulator, MutR family	Transcriptional regulator, MutR family		Transcription	ATG	 
lmo0326	350392	351264	873	+	350392	351264	873	ORF	similar to transcriptional regulators	hypothetical protein - RAST_Product: transcriptional activator, putative	transcriptional activator, putative		Transcription	ATG	 
lmo0327	351459	355505	4047	+	351459	355505	4047	ORF	similar to cell surface proteins (LPXTG motif)	hypothetical protein	Internalin-like protein (LPXTG motif) Lmo0327 homolog / murein-hydrolysing domain		Function unknown	ATT	 
lmo0328	355643	356323	681	+	355643	356323	681	ORF	lmo0328	hypothetical protein - RAST_Product: FIG00774571: hypothetical protein	FIG00774571: hypothetical protein		Not in COGs	TTG	 
lmo0329	356567	356872	306	+	356567	356872	306	ORF	similar to transposase	hypothetical protein - RAST_Product: hypothetical protein	hypothetical protein		Not in COGs	ATG	 
lmo0330	356890	357705	816	+	356890	357705	816	ORF	similar to transposase	hypothetical protein	ISLmo1, transposase OrfB, C-terminus		Not in COGs	TTG	 
lmo0331	357775	359676	1902	-	357775	359676	1902	ORF	similar to internalin, putative peptidoglycan bound protein (LPXTG motif)	hypothetical protein - RAST_Product: Internalin-like protein (LPXTG motif) Lmo0331 homolog	Internalin-like protein (LPXTG motif) Lmo0331 homolog		Function unknown	ATG	 
lmo0332	360172	360507	336	+	360172	360507	336	ORF	lmo0332	hypothetical protein - RAST_Product: FIG00774436: hypothetical protein	FIG00774436: hypothetical protein		Not in COGs	GTG	 
lmo0333	360936	366272	5337	+	360936	366272	5337	ORF	similar to internalin proteins, putative peptidoglycan bound protein (LPXTG motif)	hypothetical protein - RAST_Product: Internalin-like protein (LPXTG motif) Lmo0333 homolog	Internalin-like protein (LPXTG motif) Lmo0333 homolog		Cell wall/membrane biogenesis	TTG	 
lmo0334	366508	367032	525	+	366508	367032	525	ORF	lmo0334	hypothetical protein - RAST_Product: FIG00775087: hypothetical protein	FIG00775087: hypothetical protein		Not in COGs	ATG	 
lmo0335	367248	367532	285	+	367248	367532	285	ORF	lmo0335	hypothetical protein - RAST_Product: FIG00774928: hypothetical protein	FIG00774928: hypothetical protein	Operon_056	Not in COGs	ATG	 
lmo0336	367533	367901	369	+	367533	367901	369	ORF	lmo0336	hypothetical protein - RAST_Product: FIG00774278: hypothetical protein	FIG00774278: hypothetical protein	Operon_056	Not in COGs	ATG	 
lmo0337	367898	369373	1476	+	367898	369373	1476	ORF	lmo0337	hypothetical protein - RAST_Product: FIG00774154: hypothetical protein	FIG00774154: hypothetical protein	Operon_056	Not in COGs	ATG	 
lmo0338	369377	369757	381	+	369377	369757	381	ORF	lmo0338	hypothetical protein - RAST_Product: FIG00774512: hypothetical protein	FIG00774512: hypothetical protein	Operon_056	Not in COGs	TTG	 
lmo0339	370032	370403	372	+	370032	370403	372	ORF	weakly similar to inorganic pyrophosphatase	hypothetical protein - RAST_Product: Inorganic pyrophosphatase	Inorganic pyrophosphatase	Operon_057	Energy production and conversion	ATG	 
lmo0340	370416	370634	219	+	370416	370634	219	ORF	lmo0340	hypothetical protein - RAST_Product: FIG00774445: hypothetical protein	FIG00774445: hypothetical protein	Operon_057	Not in COGs	ATG	 
lmo0341	370732	371064	333	-	370732	371064	333	ORF	lmo0341	hypothetical protein - RAST_Product: FIG00775309: hypothetical protein	FIG00775309: hypothetical protein		Not in COGs	ATG	 
lmo0342	371130	373127	1998	-	371130	373127	1998	ORF	similar to transketolase	hypothetical protein - RAST_Product: Transketolase (EC 2.2.1.1)	Transketolase (EC 2.2.1.1)	Operon_058	Carbohydrate transport and metabolism	ATG	 
lmo0343	373129	373785	657	-	373129	373785	657	ORF	"similar to transaldolase; similar to novel fructose-6-phosphate aldolase from Escherichia coli; enzyme from Methanocaldococcus janaschii shows transaldolase activity"	putative translaldolase	Transaldolase (EC 2.2.1.2)	Operon_058	Carbohydrate transport and metabolism	ATG	 
lmo0344	373832	374596	765	-	373832	374596	765	ORF	similar to dehydrogenase/reductase	short chain dehydrogenase	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	Operon_058	"Lipid transport and metabolism; Secondary metabolites biosynthesis, transport and catabolism; General function prediction only;"	ATG	 
lmo0345	374621	375067	447	-	374621	375067	447	ORF	similar to sugar-phosphate isomerase	hypothetical protein - RAST_Product: Ribose 5-phosphate isomerase B (EC 5.3.1.6)	Ribose 5-phosphate isomerase B (EC 5.3.1.6)	Operon_058	Carbohydrate transport and metabolism	ATG	 
lmo0346	375074	375838	765	-	375074	375838	765	ORF	similar to triosephosphate isomerase	hypothetical protein - RAST_Product: Triosephosphate isomerase (EC 5.3.1.1)	Triosephosphate isomerase (EC 5.3.1.1)	Operon_058	Carbohydrate transport and metabolism	ATG	 
lmo0347	375842	376492	651	-	375842	376492	651	ORF	similar to dihydroxyacetone kinase	hypothetical protein - RAST_Product: Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), ADP-binding subunit DhaL	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), ADP-binding subunit DhaL	Operon_058	Carbohydrate transport and metabolism	ATG	 
lmo0348	376514	377509	996	-	376514	377509	996	ORF	similar to dihydroxyacetone kinase	hypothetical protein - RAST_Product: Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), dihydroxyacetone binding subunit DhaK	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), dihydroxyacetone binding subunit DhaK	Operon_058	Carbohydrate transport and metabolism	ATG	 
lmo0349	377531	377872	342	-	377531	377872	342	ORF	lmo0349	hypothetical protein - RAST_Product: FIG00774379: hypothetical protein	FIG00774379: hypothetical protein	Operon_058	Not in COGs	ATG	 
lmo0350	377888	378319	432	-	377888	378319	432	ORF	lmo0350	hypothetical protein - RAST_Product: FIG00774050: hypothetical protein	FIG00774050: hypothetical protein	Operon_058	Not in COGs	ATG	 
lmo0351	378404	378781	378	-	378404	378781	378	ORF		phosphotransferase mannnose-specific family component IIA	"Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM; DHA-specific IIA component"	Operon_058	Function unknown	ATG	 
lmo0352	378964	379728	765	+	378964	379728	765	ORF	highly similar to regulatory proteins (DeoR family)	hypothetical protein - RAST_Product: Transcriptional regulator of rhamnose utilization, DeoR family	Transcriptional regulator of rhamnose utilization, DeoR family		"Transcription; Carbohydrate transport and metabolism;"	ATG	 
lmo0353	379794	380207	414	+	379794	380207	414	ORF		hypothetical protein - RAST_Product: acetyltransferase, GNAT family	acetyltransferase, GNAT family		"Transcription; General function prediction only;"	ATG	 
lmo0354	380253	381779	1527	-	380253	381779	1527	ORF	similar to fatty-acid--CoA ligase	hypothetical protein - RAST_Product: Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Lipid transport and metabolism	ATG	 
lmo0355	382016	383536	1521	+	382016	383536	1521	ORF	"similar to Flavocytochrome C Fumarate Reductase chain A; Reduces fumarate to succinate in anaerobic bacterial respiration"	fumarate reductase flavoprotein subunit	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)		Energy production and conversion	ATG	 
lmo0356	383710	384726	1017	+	383710	384726	1017	ORF	similar to oxidoreductase	hypothetical protein - RAST_Product: oxidoreductase, YhhX family	oxidoreductase, YhhX family		General function prediction only	ATG	 
lmo0357	384926	385372	447	+	384926	385372	447	ORF	similar to PTS system, enzyme IIA component	hypothetical protein - RAST_Product: PTS system, fructose-specific IIA component (EC 2.7.1.69)	PTS system, fructose-specific IIA component (EC 2.7.1.69)	Operon_059	"Carbohydrate transport and metabolism; Signal transduction mechanisms;"	ATG	 
lmo0358	385386	386780	1395	+	385386	386780	1395	ORF	similar to PTS system, fructose-specific enzyme IIBC component	hypothetical protein - RAST_Product: PTS system, fructose-specific IIBC component (EIIBC-Fru) (Fructose- permease IIBC component) (Phosphotransferase enzyme II, BC component) (EC 2.7.1.69)	PTS system, fructose-specific IIBC component (EIIBC-Fru) (Fructose- permease IIBC component) (Phosphotransferase enzyme II, BC component) (EC 2.7.1.69)	Operon_059	Carbohydrate transport and metabolism	ATG	 
lmo0359	386780	387640	861	+	386780	387640	861	ORF	similar to D-fructose-1,6-biphosphate aldolase	hypothetical protein - RAST_Product: Fructose-bisphosphate aldolase class II (EC 4.1.2.13) homolog	Fructose-bisphosphate aldolase class II (EC 4.1.2.13) homolog	Operon_060	Carbohydrate transport and metabolism	ATG	 
lmo0360	387697	388467	771	+	387697	388467	771	ORF	similar to transcriptional regulator (DeoR family)	hypothetical protein - RAST_Product: Transcriptional regulator of rhamnose utilization, DeoR family	Transcriptional regulator of rhamnose utilization, DeoR family	Operon_060	"Transcription; Carbohydrate transport and metabolism;"	ATG	 
lmo0361	388807	389541	735	-	388807	389541	735	ORF	similar to conserved hypothetical integral membrane protein	hypothetical protein	Twin-arginine translocation protein TatC	Operon_061	Intracellular trafficking and secretion	GTG	 
lmo0362	389538	389717	180	-	389538	389717	180	ORF	similar to conserved hypothetical protein	hypothetical protein - RAST_Product: Twin-arginine translocation protein TatA	Twin-arginine translocation protein TatA	Operon_061	Intracellular trafficking and secretion	ATG	 
lmo0363	389813	390430	618	-	389813	390430	618	ORF	similar to Salmonella typhimurium peptidase E	hypothetical protein	Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)		Amino acid transport and metabolism	ATG	 
lmo0364	390529	391473	945	+	390529	391473	945	ORF	similar to transcription regulator	hypothetical protein - RAST_Product: Transcriptional regulator, DeoR family	Transcriptional regulator, DeoR family		Transcription	ATG	 
lmo0365	391604	393052	1449	+	391604	393052	1449	ORF	similar to conserved hypothetical protein	hypothetical protein - RAST_Product: Ferrous iron transport permease EfeU	Ferrous iron transport permease EfeU	Operon_062	Inorganic ion transport and metabolism	ATG	 
lmo0366	393086	394246	1161	+	393086	394246	1161	ORF	conserved hypothetical protein, putative lipoprotein	hypothetical protein - RAST_Product: Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain	Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain	Operon_062	Inorganic ion transport and metabolism	ATG	 
lmo0367	394264	395529	1266	+	394264	395529	1266	ORF	conserved hypothetical protein similar to B. subtilis YwbN protein	hypothetical protein - RAST_Product: Ferrous iron transport peroxidase EfeB	Ferrous iron transport peroxidase EfeB	Operon_062	Inorganic ion transport and metabolism	ATG	 
lmo0368	395602	396111	510	+	395602	396111	510	ORF	similar to different proteins	hypothetical protein - RAST_Product: Putative Nudix hydrolase YfcD (EC 3.6.-.-)	Putative Nudix hydrolase YfcD (EC 3.6.-.-)	Operon_063	"Replication, recombination and repair; General function prediction only;"	GTG	 
lmo0369	396208	396927	720	+	396208	396927	720	ORF	conserved hypothetical protein, highly similar to B. subtilis YeeI protein	hypothetical protein - RAST_Product: FIG007491: hypothetical protein YeeN	FIG007491: hypothetical protein YeeN	Operon_063	Function unknown	ATG	 
lmo0370	396964	397299	336	+	396964	397299	336	ORF		hypothetical protein - RAST_Product: Alkylphosphonate utilization operon protein PhnA	Alkylphosphonate utilization operon protein PhnA	Operon_063	Inorganic ion transport and metabolism	ATG	 
lmo0371	397340	398053	714	-	397340	398053	714	ORF	similar to transcription regulator (GntR family)	hypothetical protein - RAST_Product: Transcriptional regulator, GntR family	Transcriptional regulator, GntR family		Transcription	ATG	 
lmo0372	398210	399652	1443	+	398210	399652	1443	ORF	similar to beta-glucosidase	hypothetical protein - RAST_Product: Beta-glucosidase (EC 3.2.1.21)	Beta-glucosidase (EC 3.2.1.21)	Operon_064	Carbohydrate transport and metabolism	ATG	 
lmo0373	399645	400979	1335	+	399645	400979	1335	ORF	similar to PTS betaglucoside-specific enzyme IIC component	hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	Operon_064	Carbohydrate transport and metabolism	ATG	 
lmo0374	400997	401299	303	+	400997	401299	303	ORF	similar to PTS betaglucoside-specific enzyme IIB component	hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	Operon_064	Carbohydrate transport and metabolism	ATG	 
lmo0375	401386	401580	195	+	401386	401580	195	ORF	lmo0375	hypothetical protein - RAST_Product: FIG00774374: hypothetical protein	FIG00774374: hypothetical protein		Not in COGs	ATG	 
lmo0376	401619	402539	921	-	401619	402539	921	ORF	similar to putative transcription regulator	hypothetical protein - RAST_Product: Transcriptional regulator, DeoR family	Transcriptional regulator, DeoR family		Transcription	ATG	 
lmo0377	402641	403060	420	+	402641	403060	420	ORF	lmo0377	hypothetical protein - RAST_Product: FIG00774253: hypothetical protein	FIG00774253: hypothetical protein		Not in COGs	ATG	 
lmo0378	403279	403725	447	+	403279	403725	447	ORF	lmo0378	hypothetical protein - RAST_Product: FIG00774829: hypothetical protein	FIG00774829: hypothetical protein		Not in COGs	TTG	 
lmo0379	403743	404198	456	+	403743	404198	456	ORF	lmo0379	hypothetical protein - RAST_Product: FIG00774463: hypothetical protein	FIG00774463: hypothetical protein		Not in COGs	ATG	 
lmo0380	404365	404994	630	+	404365	404994	630	ORF	lmo0380	hypothetical protein - RAST_Product: FIG00774330: hypothetical protein	FIG00774330: hypothetical protein		Not in COGs	ATG	 
lmo0381	405221	405607	387	+	405221	405607	387	ORF	lmo0381	hypothetical protein - RAST_Product: FIG00774936: hypothetical protein	FIG00774936: hypothetical protein		Not in COGs	ATG	 
lmo0382	405680	406441	762	-	405680	406441	762	ORF	similar to B. subtilis transcription repressor of myo-inositol catabolism operon IolR	hypothetical protein - RAST_Product: Transcriptional repressor of the myo-inositol catabolic operon DeoR family	Transcriptional repressor of the myo-inositol catabolic operon DeoR family		"Transcription; Carbohydrate transport and metabolism;"	ATG	 
lmo0383	406637	408103	1467	+	406637	408103	1467	ORF	highly similar to B. subtilis methylmalonate-semialdehyde dehydrogenase IolA	hypothetical protein - RAST_Product: Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	Operon_065	Energy production and conversion	ATG	 
lmo0384	408116	408937	822	+	408116	408937	822	ORF	similar to B. subtilis IolB protein	hypothetical protein - RAST_Product: 5-deoxy-glucuronate isomerase (EC 5.3.1.-)	5-deoxy-glucuronate isomerase (EC 5.3.1.-)	Operon_065	Carbohydrate transport and metabolism	ATG	 
